-200,-200,30,227,138
-150,-200,30,227,188
-100,-200,30,227,238
-50,-200,30,227,288
0,-200,30,227,338
50,-200,30,227,388
100,-200,30,227,438
150,-200,30,227,488
200,-200,30,227,538
250,-200,30,227,588
-200,-150,30,277,138
-150,-150,30,277,188
-100,-150,30,277,238
-50,-150,30,277,288
0,-150,30,277,338
50,-150,30,277,388
100,-150,30,277,438
150,-150,30,277,488
200,-150,30,277,538
250,-150,30,277,588
-200,-100,30,327,138
-150,-100,30,327,188
-100,-100,30,327,238
-50,-100,30,327,288
0,-100,30,327,338
50,-100,30,327,388
100,-100,30,327,438
150,-100,30,327,488
200,-100,30,327,538
250,-100,30,327,588
-200,-50,30,377,138
-150,-50,30,377,188
-100,-50,30,377,238
-50,-50,30,377,288
0,-50,30,377,338
50,-50,30,377,388
100,-50,30,377,438
150,-50,30,377,488
200,-50,30,377,538
250,-50,30,377,588
-200,0,30,427,138
-150,0,30,427,188
-100,0,30,427,238
-50,0,30,427,288
0,0,30,427,338
50,0,30,427,388
100,0,30,427,438
150,0,30,427,488
200,0,30,427,538
250,0,30,427,588
-200,50,30,477,138
-150,50,30,477,188
-100,50,30,477,238
-50,50,30,477,288
0,50,30,477,338
50,50,30,477,388
100,50,30,477,438
150,50,30,477,488
200,50,30,477,538
250,50,30,477,588
-200,100,30,527,138
-150,100,30,527,188
-100,100,30,527,238
-50,100,30,527,288
0,100,30,527,338
50,100,30,527,388
100,100,30,527,438
150,100,30,527,488
200,100,30,527,538
250,100,30,527,588
-200,150,30,577,138
-150,150,30,577,188
-100,150,30,577,238
-50,150,30,577,288
0,150,30,577,338
50,150,30,577,388
100,150,30,577,438
150,150,30,577,488
200,150,30,577,538
250,150,30,577,588
-200,200,30,627,138
-150,200,30,627,188
-100,200,30,627,238
-50,200,30,627,288
0,200,30,627,338
50,200,30,627,388
100,200,30,627,438
150,200,30,627,488
200,200,30,627,538
250,200,30,627,588
-200,250,30,677,138
-150,250,30,677,188
-100,250,30,677,238
-50,250,30,677,288
0,250,30,677,338
50,250,30,677,388
100,250,30,677,438
150,250,30,677,488
200,250,30,677,538
250,250,30,677,588
