-420,-420,40,7,0
-370,-420,40,7,0
-320,-420,40,7,18
-270,-420,40,7,68
-220,-420,40,7,118
-170,-420,40,7,168
-120,-420,40,7,218
-70,-420,40,7,268
-20,-420,40,7,318
30,-420,40,7,368
-420,-370,40,57,0
-370,-370,40,57,0
-320,-370,40,57,18
-270,-370,40,57,68
-220,-370,40,57,118
-170,-370,40,57,168
-120,-370,40,57,218
-70,-370,40,57,268
-20,-370,40,57,318
30,-370,40,57,368
-420,-320,40,107,0
-370,-320,40,107,0
-320,-320,40,107,18
-270,-320,40,107,68
-220,-320,40,107,118
-170,-320,40,107,168
-120,-320,40,107,218
-70,-320,40,107,268
-20,-320,40,107,318
30,-320,40,107,368
-420,-270,40,157,0
-370,-270,40,157,0
-320,-270,40,157,18
-270,-270,40,157,68
-220,-270,40,157,118
-170,-270,40,157,168
-120,-270,40,157,218
-70,-270,40,157,268
-20,-270,40,157,318
30,-270,40,157,368
-420,-220,40,207,0
-370,-220,40,207,0
-320,-220,40,207,18
-270,-220,40,207,68
-220,-220,40,207,118
-170,-220,40,207,168
-120,-220,40,207,218
-70,-220,40,207,268
-20,-220,40,207,318
30,-220,40,207,368
-420,-170,40,257,0
-370,-170,40,257,0
-320,-170,40,257,18
-270,-170,40,257,68
-220,-170,40,257,118
-170,-170,40,257,168
-120,-170,40,257,218
-70,-170,40,257,268
-20,-170,40,257,318
30,-170,40,257,368
-420,-120,40,307,0
-370,-120,40,307,0
-320,-120,40,307,18
-270,-120,40,307,68
-220,-120,40,307,118
-170,-120,40,307,168
-120,-120,40,307,218
-70,-120,40,307,268
-20,-120,40,307,318
30,-120,40,307,368
-420,-70,40,357,0
-370,-70,40,357,0
-320,-70,40,357,18
-270,-70,40,357,68
-220,-70,40,357,118
-170,-70,40,357,168
-120,-70,40,357,218
-70,-70,40,357,268
-20,-70,40,357,318
30,-70,40,357,368
-420,-20,40,407,0
-370,-20,40,407,0
-320,-20,40,407,18
-270,-20,40,407,68
-220,-20,40,407,118
-170,-20,40,407,168
-120,-20,40,407,218
-70,-20,40,407,268
-20,-20,40,407,318
30,-20,40,407,368
-420,30,40,457,0
-370,30,40,457,0
-320,30,40,457,18
-270,30,40,457,68
-220,30,40,457,118
-170,30,40,457,168
-120,30,40,457,218
-70,30,40,457,268
-20,30,40,457,318
30,30,40,457,368
